ID;Description
54;Le toit du véhicule a des éraflures à plusieurs endroits, mais après un peu d'inspection, on remarque qu'il y a aussi une légère bosse près du centre.
55;Un accident léger sur le côté gauche. La portière est un peu tordue, et y’a plein de petites rayures. Le rétroviseur gauche est fissuré et le pare-chocs avant est abimé à force de frottement.
56;La portière avant gauche est enfoncée, la vitre cassée. Le rétroviseur droit est intact.
57;Y'a une pierre, je crois, qui a, euh, cassé la vitre avant droite, hein, mais la carrosserie, ben, elle est... comment dire, elle est pas touchée du tout, juste la vitre. Par contre, faudra remplacer la vitre, parce qu’elle est bien éclatée, hein.
58;La vitre avant droite est brisée, cependant en y regardant de plus près, il semble que la vitre soit seulement fissurée, pas brisée.
59;Le pare-brise est fissuré dans l’angle inférieur droit, et le toit présente une petite bosse à l'arrière.
60;Le pare-chocs arrière est totalement déformé suite à l'impact, mais en revoyant les dégâts, je remarque qu'il s'agit plutôt d'une fissure profonde au centre du pare-chocs.
61;Un impact important a déformé la portière avant droite, mais l'aileron arrière et le toit sont intacts.
62;Le pare-chocs arrière est rayé, mais la carrosserie côté conducteur, y compris les portières, ne présente aucun dommage.
63;Choc arrière violent. Le pare-chocs arrière est fissuré dans l'angle gauche, et le coffre est enfoncé au centre, empêchant son ouverture. Le feu arrière gauche est cassé.
64;Bon, alors, là c'est... un gros accident, quoi, la voiture a heurté un arbre, donc la roue avant gauche est carrément pliée, et le bas de caisse, ben, c’est tout déformé, faut changer la porte, et la peinture, elle est complètement arrachée. Par contre, la vitre est OK, c’est juste la carrosserie, quoi.
65;Collision latérale côté conducteur. La portière avant gauche est pliée en bas, et la peinture est éclatée près des charnières. Le bas de caisse est rayé sur 30 cm. Le rétroviseur gauche est suspendu.
66;Il y a eu une collision côté droit, la portière avant est abimée, et l’aile est rayée. Le rétroviseur est cassé et il manque un bout de peinture sur le pare-chocs. Le capot est aussi légèrement déformé sur un côté.
67;Une rayure sur le toit à gauche et un enfoncement léger sur l'aile avant droite. Le coffre arrière est intact.
68;Le rétroviseur gauche est cassé, mais en revoyant les dégâts, je remarque que la casse ne concerne que la coque extérieure, le miroir est intact.
69;Le toit est légèrement bosselé après la chute d’une branche. Le pare-chocs avant et les portes arrière n'ont pas subi de dommages.
70;Choc à l'arrière droit, la portière arrière est déformée, l'aile droite est légèrement rayée. Le pare-chocs arrière est fissuré avec des éclats de peinture. Le toit présente quelques bosses dues à un objet tombé.
71;Impact arrière gauche : le pare-chocs est rayé, et le feu arrière est fissuré. La carrosserie est intacte.
72;Rayures profondes sur les deux portières côté droit. Le bas de caisse est enfoncé près de la roue arrière.
73;Le rétroviseur droit est rayé sur le côté, mais après avoir pris un peu plus de recul, il semble également avoir une fissure sur le bord.
74;La vitre avant droite est fissurée sur toute sa hauteur, et la portière avant droite présente une légère bosse au centre.
75;La portière arrière gauche est éraflée sur un coin, mais après un second examen, je vois que la peinture est également écaillée à certains endroits.
76;Le capot avant est plié au niveau de la partie centrale après un choc avec un poteau. Les deux phares sont fissurés, et la calandre est enfoncée.
77;Impact à l’avant droit après un accident sur un rond-point. Capot légèrement déformé et phare avant droit fendu.
78;L'impact sur le pare-chocs arrière a créé des fissures importantes. Les portes avant et le toit sont sans dommage.
79;Le capot présente une bosse importante, mais en réalité, il est plutôt légèrement déformé avec quelques éraflures sur les bords.
80;Accrochage avec un vélo. Rayures sur l’aile avant gauche et phare gauche endommagé. Dommages localisés sur l’avant gauche du véhicule.
81;La portière avant gauche est complètement enfoncée, la peinture est rayée sur toute la surface. Le rétroviseur est également cassé et la vitre est fissurée. Le pare-chocs avant présente une fissure et une égratignure. Le capot est légèrement bosselé sur la partie centrale.
82;La voiture a été heurtée sur le coté gauche, la portière arrière est enfoncée et toute rayée. Le rétroviseur est cassé et la vitre est fracturée. Et le pare-chocs arrière est tout sale, mais pas cassé.
83;Le capot est légèrement bosselé, mais après une seconde vérification, il semble que la bosse soit en réalité plus importante, avec un impact visible sur la peinture.
84;Une pierre a cassé la vitre avant droite. La carrosserie est intacte.
85;Collision frontale avec un poteau sur le côté droit. Capot plié, radiateur endommagé, phare droit cassé.
86;Alors, c’est un peu un dégât à l’arrière, surtout au niveau du pare-chocs, il est bien enfoncé, mais y’a aussi un choc sur l’aile droite, et la peinture, elle est toute abîmée, c’est clair. Mais bon, le plus gros, c’est vraiment l’arrière, la carrosserie est un peu déformée, ça se voit pas mal.
87;Un autre véhicule m’a percuté sur l’avant, le pare-chocs avant est enfoncé, une grosse partie de la peinture est partie. La portière conducteur est aussi un peu tordue, on voit des rayures partout.
88;Le coffre est endommagé à l’arrière suite à un impact. Le capot et les portières avant ne présentent aucun dommage.
89;On m’a embouti à l’arrière, le pare-chocs arrière est déformé, y’a une grosse éraflure qui va jusque sur le coffre. Le phare arrière gauche est cassé aussi, mais la vitre arrière est intacte.
90;La portière avant gauche est enfoncée sur toute sa hauteur. Le bas de caisse gauche est également plié sur 20 cm. La vitre gauche est fissurée dans le coin inférieur droit.
91;Le pare-chocs arrière est rayé sur toute la largeur. Aucun autre dommage visible. Dégâts localisés uniquement à l’arrière du véhicule.
92;Rayures légères sur la portière avant droite et le rétroviseur droit après un frottement avec une haie.
93;Le phare gauche est fissuré, mais après un contrôle plus minutieux, je remarque qu'il est seulement légèrement éraflé sur le coin supérieur.
94;Accrochage à l'arrière droit, la portière arrière droite est rayée, le pare-chocs arrière est enfoncé avec de la peinture écaillée. Le coffre est partiellement déformé et ne ferme pas correctement. La jante arrière droite est légèrement rayée.
95;Choc latéral côté conducteur. Portière arrière enfoncée et peinture éclatée. Aucune vitre cassée.
96;C’est un accrochage avec une autre voiture, la portière avant droite est complètement pliée, la peinture est rayée, y’a une éraflure qui monte jusque sur le toit, et le rétro droit est tout rayé aussi.
97;Bon, alors là, c’est, euh, un peu bête, hein, j’ai heurté un trottoir, et, ben, le pneu avant gauche est, euh, crevé, et la jante elle est, ben, pas mal rayée. C’est pas non plus hyper grave, hein, juste un pneu à changer et la jante à retoucher, mais c’est, euh, quand même embêtant.
98;La porte arrière droite est complètement enfoncée. La roue arrière gauche est en bon état.
99;Ouais, alors la portière avant droite, elle a des, euh, griffes, ou des rayures, hein, enfin c'est pas des rayures superficielles, tu vois, c'est un peu plus profond, et puis le rétroviseur, il est, ben, ben, il est à moitié cassé, genre, faut le changer. Mais bon, c’est pas trop grave comparé à... à d'autres trucs.
100;Un accrochage sur le côté droit a enfoncé la portière avant et laissé une rayure sur l'aile droite. Le rétroviseur gauche n'est pas touché.
101;Le pare-chocs arrière est totalement endommagé. L'armature métallique du véhicule n'a pas souffert.
102;La portière arrière gauche est enfoncée avec des rayures importantes. La vitre est intacte, mais le bas de caisse est plié.
103;Rayures profondes sur toute la surface du véhicule après un accrochage avec un objet. L'aile avant gauche est déformée, la portière avant gauche est bosselée et le rétroviseur gauche est cassé. Le pare-chocs arrière est fissuré.
104;On m’a foncé dedans sur le coté, la portière conducteur est bien rayée, y’a une grosse bosse dessus, on dirait que l'aile aussi est touchée. Le rétroviseur gauche a éclaté et la vitre est fendue, mais le pare-brise ça va encore.
105;Rayures légères sur la portière avant droite, à hauteur de la poignée, après un frottement avec une haie. Pas de dommages sur la peinture du toit.
106;Collision latérale gauche : le rétroviseur gauche est cassé, et la portière avant présente plusieurs bosses. La vitre avant gauche est fissurée.
107;Bon, c’est simple, hein, l’arrière du véhicule, il a été bien percuté, genre la voiture était en stationnement, et là, boum, pare-chocs arrière bien déformé, et la peinture, elle est, euh, bien éclatée aussi, mais c’est pas trop grave, hein, juste la peinture qui est à refaire.
108;Choc violent avec un autre véhicule. Les deux portières côté passager sont enfoncées et ne s’ouvrent plus.
109;Impact sur le côté gauche : la portière avant est enfoncée, et le rétroviseur est cassé. La vitre est intacte.
110;Rayures importantes sur les deux portières côté conducteur. Le rétroviseur gauche est suspendu par les câbles.
111;Bon alors, donc... c'est un choc à l'avant gauche, ouais, portière, capot aussi, il est un peu bossé. Enfin, c’est pas super profond mais bon, y’a de la peinture qui part, sur la portière et... la vitre avant gauche, ben... c’est cassé, enfin presque, juste un petit éclat quoi, mais à changer... voilà.
112;La portière côté passager présente une longue rayure après avoir été frottée contre un mur en béton. La partie arrière de la portière est plus endommagée.
113;Le rétroviseur droit est brisé.
114;Le pare-chocs arrière est fissuré à gauche, et le feu arrière gauche est endommagé. La plaque d'immatriculation est tordue.
115;Une fissure dans le pare-brise, mais les pneus et les jantes ne sont pas affectés.
116;Le côté conducteur est fortement éraflé, la portière et l'aile avant sont abîmées. La vitre arrière gauche est intacte.
117;C’est un peu compliqué, là. Donc, à l’avant, la grille du radiateur est bien enfoncée, et puis la portière droite, elle a une énorme rayure, mais le pire, c’est le pare-chocs, il est complètement cassé. Pour les vitres, ça va, rien de cassé, mais faut vraiment bosser sur la carrosserie, là.
118;Rayures sur les deux portières côté passager. Le rétroviseur droit est cassé, et le bas de caisse est plié près de la roue.
119;Le feu arrière gauche est fendu.
120;La portière avant droite présente une rayure profonde sur toute sa longueur, mais après vérification, il semble que ce soit une petite bosse sur le bas de la portière.
121;Choc frontal : le pare-chocs avant est fissuré à gauche, et le capot est plié près de l'aile. La calandre est rayée.
122;L'aile avant gauche est complètement déformée après l'impact. La vitre arrière et le pare-brise ne présentent aucun dommage.
123;Je suis rentré dans un poteau à faible vitesse, du coup le capot est un peu enfoncé, mais le phare gauche est intact. Par contre le pare-chocs arrière est bien abimé, y’a des rayures de part et d’autre.
124;L'aile avant gauche est enfoncée et présente des rayures, tandis que le rétroviseur gauche et la porte arrière sont intacts.
125;Un accident a causé une grosse fissure sur le pare-chocs arrière. L'aile avant gauche est intacte, tout comme le toit.
126;La voiture a été frappée à l’avant gauche, y’a un gros impact sur le pare-chocs, une rayure bien profonde sur la portière, et l'aile avant gauche est légèrement déformée.
127;Le véhicule a été heurté par l’arrière gauche. Le feu arrière gauche est brisé, et le pare-chocs présente plusieurs rayures et une bosse près de l'aile arrière gauche. La carrosserie est éraflée sur 50 cm.
128;La vitre arrière gauche est fissurée, mais après inspection, il apparaît qu'elle est seulement rayée en diagonale.
129;Le capot est enfoncé près du phare droit, et le pare-chocs avant présente une fissure au centre. La calandre est légèrement déformée.
130;Impact arrière gauche : le feu arrière est cassé, et le coffre ne se ferme plus correctement. Le pare-chocs est rayé.
131;La portière arrière droite est enfoncée, et la peinture est écaillée sur toute la zone impactée. La vitre est intacte.
132;Collision latérale droite : les portières avant et arrière sont pliées, et les vitres sont brisées. L’aile arrière droite est rayée.
133;Rayures légères sur la portière avant droite et l’aile arrière droite. Le rétroviseur est intact mais légèrement décalé.
134;Le pare-brise est fissuré en diagonale après la chute d'une branche. Le toit présente une bosse près de l’antenne, et la peinture est écaillée sur 10 cm autour de l’impact.
135;Donc là, c'est un impact frontal, ouais, donc bon, le capot est carrément plié, ça peut pas se réparer, et le phare, il est fendu. Puis, ben, les deux roues avant, elles sont... bah, dégonflées, enfin, c’est pas super, quoi. Et en plus, l’aile avant droite aussi, elle est... ben, tordue quoi, ça se voit à peine mais c’est là.
136;Collision latérale gauche : la portière arrière est pliée, et la vitre est brisée. Le rétroviseur est manquant.
137;Le pneu avant gauche est crevé après avoir heurté un trottoir. Jante légèrement rayée.
138;Là, je crois qu'il y a un choc sur l’aile avant gauche, le pare-chocs avant aussi est rayé, la peinture s’en va. Et puis... heu, à l’intérieur, y’a des câbles qui sont un peu à nu. Pour la vitre, elle est intacte mais, ouais, faut vraiment changer l’aile, là, ça peut pas rester comme ça.
139;Le coffre est légèrement déformé, mais l'aile avant gauche et les fenêtres avant sont sans dommage.
140;La portière avant gauche est légèrement rayée, mais après inspection plus approfondie, je constate que la peinture est en fait écaillée sur toute la longueur de la porte.
141;Le capot est enfoncé sur la partie droite, et le phare est fissuré. Le pare-chocs présente une légère rayure au centre.
142;Le feu avant droit est détaché.
143;La portière arrière gauche est enfoncée, et la peinture est écaillée autour de l'impact. La vitre est intacte.
144;Le véhicule a subi un choc latéral gauche, la portière avant et arrière gauche sont profondément rayées, la peinture est abîmée et la jante arrière gauche est rayée. Le pare-chocs arrière est enfoncé, et l'optique arrière gauche est fissurée.
145;Choc frontal. Le capot est déformé dans le coin gauche, et le pare-chocs avant est rayé sur toute sa largeur. Le radiateur fuit, et le phare gauche est brisé.
146;Le véhicule a été heurté par l’arrière en stationnement. Pare-chocs arrière endommagé et peinture éclatée.
147;La porte conducteur présente des éraflures, mais après un second regard, il semble que la porte soit également déformée sur son côté supérieur.
148;Le toit est rayé sur toute sa longueur, probablement dû à un frottement avec un objet métallique. Le pare-brise est intact.
149;Le capot est légèrement plié au centre, et le pare-chocs avant présente une fissure au niveau de la calandre.
150;L'impact a causé des bosses sur le toit et l'aile avant droite. La portière avant droite est rayée et enfoncée. Le pare-chocs avant présente de petites égratignures. Le rétroviseur droit est cassé et la vitre est intacte.
151;Le pare-brise est fissuré en diagonale après la chute d’une branche. Le toit présente une bosse au centre.
152;Bah c’est un peu... un accrochage sur le côté, la portière arrière droite, ben elle est... comment dire, complètement enfoncée quoi, et la peinture, c’est déchiré... en fait, c’est comme si le métal avait été... ah, je sais pas, comprimé. Puis l’aile, la droite aussi, elle est bien bien rayée, comme une grosse griffure.
153;Choc à l’arrière gauche du véhicule. Pare-chocs déformé et peinture fissurée au niveau de l’arrière gauche. Pas de dommages visibles sur l’avant.
154;Bon, bah là, c’est un accrochage à l’arrière gauche, donc la portière arrière est bien enfoncée, mais la peinture, elle part bien bien. Le pare-chocs, il est complètement rayé aussi, ça c’est sûr. Faut changer les pièces et refaire la peinture.
155;Alors là, c’est... un léger choc à l’avant gauche, donc la portière, elle a quelques bosses, la peinture a craqué, mais c’est rien, ça peut se réparer facilement. Par contre, le phare avant gauche est cassé, donc ça faut le remplacer. La carrosserie, elle est juste légèrement éraflée, pas grand-chose à part ça.
156;Accident latéral côté droit. Les deux portières sont gravement enfoncées, et les vitres sont brisées. L’aile arrière droite est légèrement déformée près de la roue.
157;La portière avant gauche est déformée après une collision, mais la carrosserie arrière et le toit restent intacts.
158;Impact arrière : le coffre est enfoncé au centre, et le pare-chocs présente plusieurs rayures profondes. Le feu arrière droit est fissuré.
159;L’aile avant droite a une rayure profonde, mais en fait, elle est aussi partiellement cabossée, probablement à cause d’un impact sur un objet dur.
160;La porte conducteur présente une bosse suite à un accrochage. Le pare-brise et la vitre arrière sont en parfait état.
161;L'impact latéral sur l'aile arrière droite a causé un enfoncement. Les sièges et la console centrale à l'intérieur sont en bon état.
162;Le rétroviseur droit est cassé, mais la portière arrière droite et le capot avant n'ont pas de rayures.
163;La carrosserie latérale gauche est endommagée, avec une grosse rayure qui s'étend du pare-chocs avant jusqu'à l'aile arrière. L'aile avant gauche est complètement déformée et le rétroviseur gauche cassé. La vitre avant est fissurée et le rétroviseur droit est également endommagé.
164;Choc arrière : le pare-chocs est fissuré sur toute sa largeur, et les feux arrière sont brisés. La carrosserie est rayée près du coffre.
165;Le pare-chocs avant est rayé à cause d’un léger choc. Les rétroviseurs et les ailes avant sont épargnés.
166;La voiture a été emboutie à l’arrière à un feu rouge, côté conducteur. Pare-chocs arrière enfoncé et coffre difficile à fermer.
167;Choc arrière violent : le pare-chocs est enfoncé, et les feux arrière sont cassés. La plaque d'immatriculation est tordue.
168;Collision latérale droite : les deux portières sont rayées, et le rétroviseur est manquant. Le bas de caisse est intact.
169;Alors, euh, côté conducteur, c'est, ben, vraiment pas beau, quoi, tu vois, la portière arrière elle est bien enfoncée, et la peinture, elle est carrément éclatée, genre toute fissurée, et, euh, la vitre, ben, elle est, euh, pas cassée, mais elle est, elle bouge quoi. Et sinon, il y a, ben, rien d'autre à signaler, à part ça.
170;Le coffre arrière présente une grosse rayure, mais en y regardant mieux, on voit qu’il est en fait bien enfoncé et que la serrure est bloquée.
171;Le pare-chocs avant est endommagé au centre, et le phare gauche est cassé. La calandre est enfoncée près du logo.
172;Le toit du véhicule présente une bosse due à un impact avec un objet tombé dessus, mais après avoir revu l'état, il semble que ce soit une déformation moins marquée, avec des petites éraflures.
173;C’est un accrochage avec un mur, le capot est tout cabossé, la peinture est partie par endroits, le phare droit est cassé. La portière arrière gauche est enfoncée et la vitre est fendue.
174;Choc latéral droit : les deux portières présentent des bosses profondes, et les vitres sont fissurées. Le rétroviseur est arraché.
175;La carrosserie du toit est légèrement bosselée à cause de la chute d’une branche. Aucun autre dommage signalé.
176;Choc à l’arrière gauche du véhicule. Pare-chocs déformé et aile fissurée.
177;L’aile avant droite est déformée après un accident sur un rond-point. L’arrière du véhicule (pare-chocs et coffre) est intact.
178;Le pare-chocs arrière est rayé sur toute la largeur. Aucun autre dommage visible.
179;Le pare-chocs avant présente un éclat sur le coin, mais après plus d'examen, il s'avère que l’éclat est en fait une fissure au centre du pare-chocs.
180;Impact à l’avant droit après un accident sur un rond-point. Capot légèrement déformé, phare avant droit fendu. Aucun dommage à l’arrière du véhicule.
181;Choc latéral gauche. La portière avant et arrière sont très endommagées avec des éraflures profondes. Le seuil de porte est déformé, la peinture est rayée sur toute la longueur. Le pare-chocs arrière est fissuré et l'optique arrière gauche est cassée.
182;La grille avant est complètement tordue à cause d’un impact, mais finalement il s’agit simplement d’une déformation légère qui pourrait être réparée.
183;L'impact a principalement touché le côté gauche du véhicule. Le pare-chocs avant est rayé et déformé. L'aile avant gauche présente des bosses et la portière avant gauche est complètement enfoncée. Le rétroviseur gauche est cassé et la vitre avant gauche est fissurée.
184;La portière avant gauche est arrachée.
185;J’ai eu un choc frontal avec un mur. Le capot est tout tordu, c’est même difficile de l'ouvrir, le phare droit est cassé et il manque des morceaux de peinture. Le pare-chocs avant est enfoncé aussi, il faut le remplacer.
186;Choc latéral droit : les portières avant et arrière sont rayées sur toute leur hauteur. La vitre avant droite est fissurée.
187;La carrosserie du toit est légèrement bosselée à cause de la chute d’une branche, au-dessus du pare-brise. Aucun autre dommage sur le reste de la carrosserie.
188;Le toit est endommagé sur une large surface après la chute d’un objet lourd. Le pare-brise est également touché avec une fissure centrale.
189;Alors, y’a eu une branche qui est tombée, sur le toit du véhicule, là, et ça a, euh, laissé des bosses, mais rien de, enfin, de grave, juste que la peinture est un peu, ben, abimée, mais la carrosserie elle est intacte. Sinon, rien d’autre à signaler, c’est juste ça, quoi.
190;Le pare-chocs avant est complètement fissuré à cause du choc. La portière arrière gauche est intacte.
191;Accrochage avec un autre véhicule à faible vitesse, mais la portière arrière droite a pris cher, elle est complètement bossée, et y’a des rayures partout. Le pare-chocs avant est légèrement fissuré.
192;Choc frontal, la calandre est complètement détruite, le pare-chocs avant est rayé et légèrement fissuré. Le capot est tordu, les optiques avant sont brisées. La peinture est éraflée sur les ailes avant.
193;La portière arrière droite est enfoncé sur le milieu.
194;Une rayure importante sur la portière droite, probablement à cause d’un accrochage avec un mur. Les autres éléments (pneus et toit) sont intacts.
195;Choc à l'avant gauche, le capot est enfoncé et une légère bosse est présente sur l'aile avant gauche. Les phares sont intacts.
196;La carrosserie côté passager est éraflée, mais en réalité, elle est également légèrement déformée au niveau de la jointure des panneaux.
197;Accident sur le côté droit avec un autre véhicule. La portière avant droite est enfoncée et la peinture éclatée. L'aile arrière droite est également déformée et la jante est légèrement rayée. La vitre arrière droite est fissurée. Le rétroviseur droit est cassé.
198;La portière avant gauche a une grande rayure après un accrochage. Les autres pièces comme le pare-chocs avant et le toit ne sont pas touchées.
199;L'aile avant gauche est enfoncée suite à un choc. La porte arrière gauche et le pare-chocs arrière n'ont aucun dommage visible.
200;Choc à l'arrière gauche a déformé le pare-chocs. L'aile avant droite n'a aucun dommage.
201;Le pare-brise est brisé au centre, et le toit présente une bosse près de l'antenne. La peinture est intacte.
202;Le capot est plié sur la partie gauche après un choc frontal. Les deux phares avant sont endommagés, et le radiateur fuit.
203;Le pare-chocs arrière est fendu.
204;Collision frontale avec un autre véhicule. Le pare-chocs avant est complètement détruit, la calandre est déformée. La portière avant droite est enfoncée et rayée. Le phare avant droit est fissuré et le capot est légèrement tordu. L'aile droite est enfoncée avec des débris visibles.
205;Impact frontal : le capot est légèrement plié, et le radiateur est touché. Les deux phares présentent des fissures.
206;Le pneu avant gauche est crevé après avoir heurté un trottoir sur le côté. Jante légèrement rayée, aucun autre dommage sur la carrosserie.
207;C’est un petit accrochage sur le côté droit, là, portière avant droite, donc ben, c’est bien bossé, la peinture est bien rayée, y’a un truc de... oh, je sais plus comment dire, mais enfin, la portière, elle est vraiment enfoncée, quoi. Et la vitre, ben, elle est intacte mais la... l’encadrement de la vitre, il est un peu déformé.
208;Ouais, l’avant droit, ça va, c’est pas trop... euh, comment dire, c’est pas super violent, mais le capot il est, ben, il est un peu tordu, enfin, déformé quoi. Et le phare droit, il est, euh, fissuré, genre y'a des morceaux qui tombent si tu le touches. Le reste, ben, ça va, pas trop de dégâts apparents.
209;Le rétroviseur gauche est cassé suite à un choc. Le pare-chocs avant ne présente aucun dommage.
210;Le toit est enfoncé près du coffre
211;Le pare-chocs arrière est endommagé après une collision, mais le capot et les portes avant restent intacts.
